x,j₀(x),j₁(x),j₂(x),j₃(x),y₀(x),y₁(x),j₀_scaled(x),j₁_scaled(x)
0.730000,0.9135200480,0.2306104734,0.0341942264,0.0035965569,-1.0207868525,-2.3118582021,1.0000000000,0.6447333333
0.740000,0.9111998806,0.2334207052,0.0351002756,0.0037433194,-0.9979304848,-2.2597545897,1.0000000000,0.6349333333
0.750000,0.9088516800,0.2362170815,0.0360166461,0.0038938927,-0.9755851585,-2.2096318914,1.0000000000,0.6250000000
0.760000,0.9064755857,0.2389994407,0.0369432592,0.0040483171,-0.9537315931,-2.1613855766,1.0000000000,0.6149333333
0.770000,0.9040717385,0.2417676219,0.0378800352,0.0042066325,-0.9323515190,-2.1149178670,1.0000000000,0.6047333333
0.780000,0.9016402810,0.2445214654,0.0388268936,0.0043688782,-0.9114276128,-2.0701372206,1.0000000000,0.5944000000
0.790000,0.8991813575,0.2472608125,0.0397837531,0.0045350932,-0.8909434375,-2.0269578607,1.0000000000,0.5839333333
0.800000,0.8966951136,0.2499855053,0.0407505314,0.0047053161,-0.8708833867,-1.9852993470,1.0000000000,0.5733333333
0.810000,0.8941816968,0.2526953874,0.0417271455,0.0048795848,-0.8512326333,-1.9450861823,1.0000000000,0.5626000000
0.820000,0.8916412558,0.2553903030,0.0427135114,0.0050579371,-0.8319770821,-1.9062474534,1.0000000000,0.5517333333
0.830000,0.8890739411,0.2580700976,0.0437095443,0.0052404101,-0.8131033254,-1.8687165018,1.0000000000,0.5407333333
0.840000,0.8864799047,0.2607346177,0.0447151586,0.0054270404,-0.7945986022,-1.8324306216,1.0000000000,0.5296000000
0.850000,0.8838593002,0.2633837109,0.0457302678,0.0056178643,-0.7764507599,-1.7973307824,1.0000000000,0.5183333333
0.860000,0.8812122824,0.2660172259,0.0467547846,0.0058129174,-0.7586482188,-1.7633613741,1.0000000000,0.5069333333
0.870000,0.8785390081,0.2686350125,0.0477886211,0.0060122351,-0.7411799394,-1.7304699729,1.0000000000,0.4954000000
0.880000,0.8758396351,0.2712369215,0.0488316882,0.0062158521,-0.7240353911,-1.6986071250,1.0000000000,0.4837333333
0.890000,0.8731143231,0.2738228050,0.0498838962,0.0064238028,-0.7072045242,-1.6677261481,1.0000000000,0.4719333333
0.900000,0.8703632329,0.2763925163,0.0509451547,0.0066361208,-0.6906777425,-1.6377829468,1.0000000000,0.4600000000
0.910000,0.8675865271,0.2789459095,0.0520153723,0.0068528395,-0.6744458786,-1.6087358442,1.0000000000,0.4479333333
0.920000,0.8647843696,0.2814828402,0.0530944571,0.0070739916,-0.6585001703,-1.5805454242,1.0000000000,0.4357333333
0.930000,0.8619569257,0.2840031649,0.0541823161,0.0072996096,-0.6428322390,-1.5531743870,1.0000000000,0.4234000000
0.940000,0.8591043621,0.2865067416,0.0552788557,0.0075297251,-0.6274340692,-1.5265874145,1.0000000000,0.4109333333
0.950000,0.8562268471,0.2889934291,0.0563839817,0.0077643694,-0.6122979889,-1.5007510460,1.0000000000,0.3983333333
0.960000,0.8533245503,0.2914630878,0.0574975989,0.0080035732,-0.5974166522,-1.4756335630,1.0000000000,0.3856000000
